row ID,row m/z,row retention time,26C sample 1 Peak status,26C sample 1 Peak name,26C sample 1 Peak m/z,26C sample 1 Peak RT,
834,240.88784790039062,2.980426666666667,DETECTED,240.888 m/z @3.0 [26C sample 1],240.88784790039062,2.980426666666667,
835,240.91891479492188,18.513413333333332,DETECTED,240.919 m/z @18.5 [26C sample 1],240.91891479492188,18.513413333333332,
836,241.06565856933594,23.42124666666667,DETECTED,241.066 m/z @23.4 [26C sample 1],241.06565856933594,23.42124666666667,
837,241.08294677734375,10.703745,DETECTED,241.083 m/z @10.7 [26C sample 1],241.08294677734375,10.703745,
838,241.10235595703125,6.734911666666667,DETECTED,241.102 m/z @6.7 [26C sample 1],241.10235595703125,6.734911666666667,
839,241.119384765625,10.634758333333332,DETECTED,241.119 m/z @10.6 [26C sample 1],241.119384765625,10.634758333333332,
840,241.15859985351562,2.85608,DETECTED,241.159 m/z @2.9 [26C sample 1],241.15859985351562,2.85608,
841,241.59556579589844,7.497411666666667,DETECTED,241.596 m/z @7.5 [26C sample 1],241.59556579589844,7.497411666666667,
842,242.04367065429688,13.783078333333332,DETECTED,242.044 m/z @13.8 [26C sample 1],242.04367065429688,13.783078333333332,
843,242.0782470703125,13.667913333333333,DETECTED,242.078 m/z @13.7 [26C sample 1],242.0782470703125,13.667913333333333,
844,242.10079956054688,5.001745,DETECTED,242.101 m/z @5.0 [26C sample 1],242.10079956054688,5.001745,
845,242.28512573242188,1.56992,DETECTED,242.285 m/z @1.6 [26C sample 1],242.28512573242188,1.56992,
846,242.5625457763672,14.61152,DETECTED,242.563 m/z @14.6 [26C sample 1],242.5625457763672,14.61152,
847,243.01478576660156,13.805911666666667,DETECTED,243.015 m/z @13.8 [26C sample 1],243.01478576660156,13.805911666666667,
848,243.0274200439453,13.783078333333332,DETECTED,243.027 m/z @13.8 [26C sample 1],243.0274200439453,13.783078333333332,
849,243.05380249023438,3.088581666666667,DETECTED,243.054 m/z @3.1 [26C sample 1],243.05380249023438,3.088581666666667,
850,243.07322692871094,13.713911666666666,DETECTED,243.073 m/z @13.7 [26C sample 1],243.07322692871094,13.713911666666666,
851,243.09869384765625,9.545585,DETECTED,243.099 m/z @9.5 [26C sample 1],243.09869384765625,9.545585,
852,243.10946655273438,13.760081666666663,DETECTED,243.109 m/z @13.8 [26C sample 1],243.10946655273438,13.760081666666663,
853,243.1346435546875,20.604758333333333,DETECTED,243.135 m/z @20.6 [26C sample 1],243.1346435546875,20.604758333333333,
